"CountryCode","SeriesCode","Year","DESCRIPTION",
"AFG","DT.DFR.DPPG.CD","YR2007","Data include the effects of Enhanced HIPC Initiative.  ",
"AFG","DT.DFR.DPPG.CD","YR2008","Data include the effects of Enhanced HIPC Initiative.  ",
"AFG","DT.DFR.DPPG.CD","YR2009","Data include the effects of Enhanced HIPC Initiative.  ",
"AFG","DT.DOD.DECT.CD","YR2007","Data include the effects of Enhanced HIPC Initiative.  ",
"AFG","DT.DOD.DECT.CD","YR2008","Data include the effects of Enhanced HIPC Initiative.  ",
"AFG","DT.DOD.DECT.CD","YR2009","Data include the effects of Enhanced HIPC Initiative.  ",
"AFG","DT.DOD.DECT.CD","YR2006","Data include the effects of the 2006 Paris Club rescheduling.",
"AFG","BX.KLT.DINV.CD.DT","YR1970","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1971","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1972","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1973","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1976","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1977","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1979","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1980","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1981","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1982","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1987","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1991","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1992","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1993","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1994","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1995","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1996","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1997","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1998","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR1999","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2000","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2001","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2002","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2003","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2004","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2005","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2006","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2007","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2008","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AFG","DT.DOD.DECT.CD","YR2010","Data include the effects of MDRI and HIPC debt relief. ",
"AGO","BX.KLT.DINV.CD.DT","YR1970","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1971","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1972","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1973","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1974","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1975","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1976","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1978","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1979","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1980","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1981","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1982","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1983","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AGO","BX.KLT.DINV.CD.DT","YR1984","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARM","BX.KLT.DINV.CD.DT","YR1992","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BDI","BX.KLT.DINV.CD.DT","YR1996","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BDI","BX.KLT.DINV.CD.DT","YR1997","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BDI","BX.KLT.DINV.CD.DT","YR1998","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BDI","BX.KLT.DINV.CD.DT","YR2002","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BDI","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BDI","DT.DOD.DECT.CD","YR2007","Data include the effects of Enhanced HIPC Initiative.  ",
"BDI","DT.DOD.DECT.CD","YR2008","Data include the effects of Enhanced HIPC Initiative.  ",
"BDI","DT.DOD.DECT.CD","YR2009","Data include the effects of MDRI and HIPC debt relief, and Paris Club debt restructuring agreement.",
"BDI","DT.DFR.DPPG.CD","YR2009","Data include the effects of MDRI and HIPC debt relief. ",
"BDI","DT.DFR.DPPG.CD","YR2007","Data include the effects of Enhanced HIPC Initiative.  ",
"BDI","DT.DFR.DPPG.CD","YR2008","Data include the effects of Enhanced HIPC Initiative.  ",
"BDI","DT.DOD.DECT.CD","YR2010","Data include the effects of MDRI and HIPC debt relief. ",
"BEN","BN.CAB.XOKA.CD","YR2012","Gap-filled with countries' balance of payments statistics.",
"BEN","DT.DFR.DPPG.CD","YR2006","Data include the effects of MDRI.  ",
"BEN","DT.DOD.DECT.CD","YR2006","Data include the effects of MDRI.  ",
"BEN","BX.KLT.DINV.CD.DT","YR1970","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR1971","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR1972","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR1973","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR1985","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR1986","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR1987","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR2008","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BEN","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1970","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1971","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1972","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1973","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1990","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1991","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1992","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1993","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1994","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1995","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1996","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1997","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1998","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR1999","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2002","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2003","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2004","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2005","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2006","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2007","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2008","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"BFA","BX.KLT.DINV.CD.DT","YR2009","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
